Nahráno na Disk GS,Název souboru v databázi,ID písně,Název písně,v archivu,downloaded
,k203-at-srdce-me-tebe-vida.jpg,1,Ať srdce mé tebe vídá,not available,false
,k118-abba-otce.jpg,4,Abba Otče,not available,false
,k225-at-te-hospodine-velebi-narody.jpg,8,"Ať Tě, Hospodine, velebí národy",not available,false
,k42a-ave-crux.jpg,9,Ave crux,not available,false
,k194-davas-mi-lasku-vzacnou.jpg,16,Dáváš mi lásku vzácnou,not available,false
,k77-diky-za-tvuj-kriz.jpg,18,Díky za tvůj kříž,not available,false
,92.pdf,18,Díky za tvůj kříž,http://web.archive.org/web/20250806000014/https://zpevnik.proscholy.cz/soubor/92.pdf,true
,k186-dobrorec-duse-ma.jpg,19,"Dobrořeč, duše má",not available,false
,3ch-duchu-svaty-prijd.jpg,20,"Duchu Svatý, přijď",not available,false
,k187-haleluja-slava.jpg,22,"Haleluja, sláva",not available,false
,hledam-vas-arr-om.pdf,23,Hledám vás,http://web.archive.org/web/20251212114600/https://zpevnik.proscholy.cz/soubor/hledam-vas-arr-om.pdf,true
,k205-hledam-vas.jpg,23,Hledám vás,not available,false
,k205-hledam-vas-2.jpg,23,Hledám vás,not available,false
,k160-chleba-a-vino-neseme.jpg,27,Chleba a víno neseme,not available,false
,k18-chvalte-sluzebnici.jpg,28,"Chvalte, služebníci",not available,false
,k211-jak-dobre-je.jpg,31,Jak dobré je,not available,false
,k213-jako-maria.jpg,33,Jako Maria,not available,false
,jesus-christ-you-are-my-life-final-b1e412f694.pdf,34,"Jesus Christ, You are my life",http://web.archive.org/web/20240808095324/https://zpevnik.proscholy.cz/soubor/jesus-christ-you-are-my-life-final-b1e412f694.pdf,true
,k54-kazdy-den-pan-mi-silu-dava.jpg,35,Každý den Pán mi sílu dává,not available,false
,kez-poznaji-nas-po-ovoci.pdf,36,Kéž poznají nás po ovoci,not available,false
,k214-korunovana-hvezdami.jpg,38,Korunovaná hvězdami,not available,false
,k215-lasku-neuhasi-ani-velke-vody.jpg,40,Lásku neuhasí ani velké vody,not available,false
,k179-muj-krali-ma-spaso.jpg,48,"Můj Králi, má spáso",not available,false
